Medicion,Tiempo,temperatura
319,636.000,69.000
320,638.000,68.900
321,640.000,68.800
322,642.000,68.800
323,644.000,68.800
324,646.000,68.600
325,648.000,68.600
326,650.000,68.600
327,652.000,68.500
328,654.000,68.500
329,656.000,68.400
330,658.000,68.300
331,660.000,68.300
332,662.000,68.200
333,664.000,68.700
334,666.000,68.000
335,668.000,68.000
336,670.000,68.000
337,672.000,68.000
338,674.000,67.900
339,676.000,67.800
340,678.000,67.800
341,680.000,7.700
342,682.000,7.700
343,684.000,67.600
344,686.000,67.500
345,688.000,67.500
346,690.000,67.500
347,692.000,67.500
348,694.000,67.400
349,696.000,67.400
350,698.000,
351,700.000,673.000
352,702.000,67.200
353,704.000,67.100
354,706.000,67.000
355,708.000,66.900
356,710.000,66.800
357,712.000,66.800
358,714.000,66.800
359,716.000,66.700
360,718.000,66.700
361,720.000,66.500
362,722.000,66.400
363,724.000,66.400
364,726.000,66.300
365,728.000,66.300
366,730.000,66.300
367,732.000,66.300
368,734.000,66.200
369,736.000,66.100
370,738.000,66.100
371,740.000,66.000
372,742.000,66.000
373,744.000,65.900
374,746.000,65.900
375,748.000,65.800
376,750.000,65.800
377,752.000,65.800
378,754.000,65.800
379,756.000,65.700
380,758.000,65.700
381,760.000,65.600
382,762.000,65.500
383,764.000,65.400
384,766.000,65.400
385,768.000,65.300
386,770.000,68.200
387,772.000,68.200
388,774.000,65.200
